Fajr Iqama and azan done


03/08,05:50,06:00,13:49,14:00,17:08,18:00,19:39,,20:48,21:15,07:58
03/09,05:48,06:00,13:48,14:00,17:09,18:00,19:40,,20:49,21:15,07:57
03/10,05:47,06:00,13:48,14:00,17:09,18:00,19:41,,20:49,21:15,07:55
03/11,05:44,06:00,13:48,14:00,17:10,18:00,19:42,,20:51,21:15,07:53
03/12,05:44,06:00,13:48,14:00,17:10,18:00,19:42,,20:51,21:15,07:53
03/13,05:44,06:00,13:48,14:00,17:10,18:00,19:42,,20:51,21:15,07:53
03/14,05:44,06:00,13:48,14:00,17:10,18:00,19:42,,20:51,21:15,07:53
03/15,05:40,06:00,13:47,14:00,17:11,18:00,19:45,,20:54,21:30,07:49
03/16,05:39,06:00,13:47,14:00,17:11,18:00,19:45,,20:54,21:30,07:47
03/17,05:37,06:00,13:46,14:00,17:11,18:00,19:46,,20:55,21:30,07:46
03/18,05:36,05:45,13:46,14:00,17:12,18:00,19:47,,20:56,21:30,07:45
03/19,05:35,05:45,13:46,14:00,17:12,18:00,19:48,,20:57,21:30,07:43
03/20,05:33,05:45,13:45,14:00,17:12,18:00,19:49,,20:58,21:30,07:42
03/21,05:32,05:45,13:45,14:00,17:13,18:00,19:49,,20:59,21:30,07:40
03/22,05:30,05:45,13:45,14:00,17:13,18:00,19:50,,20:59,21:30,07:39
03/23,05:29,05:45,13:45,14:00,17:13,18:00,19:51,,21:00,21:30,07:38
03/24,05:27,05:45,13:44,14:00,17:13,18:00,19:52,,21:01,21:30,07:36
03/25,05:26,05:45,13:44,14:00,17:14,18:00,19:52,,21:02,21:30,07:35
03/26,05:25,05:45,13:44,14:00,17:14,18:00,19:53,,21:03,21:30,07:34
03/27,05:23,05:45,13:43,14:00,17:14,18:00,19:54,,21:04,21:30,07:32
03/28,05:22,05:45,13:43,14:00,17:14,18:00,19:55,,21:04,21:30,07:31
03/29,05:20,05:45,13:43,14:00,17:14,18:00,19:56,,21:05,21:30,07:30
03/30,05:19,05:45,13:42,14:00,17:15,18:00,19:56,,21:06,21:30,07:28
03/31,05:17,05:45,13:42,14:00,17:15,18:00,19:57,,21:07,21:30,07:27
04/01,05:16,05:30,13:42,14:00,17:15,18:00,19:58,,21:08,21:30,07:25
04/02,05:14,05:30,13:42,14:00,17:15,18:00,19:59,,21:09,21:30,07:24
04/03,05:13,05:30,13:41,14:00,17:15,18:00,19:59,,21:10,21:30,07:23
04/04,05:11,05:30,13:41,14:00,17:15,18:00,20:00,,21:11,21:30,07:21
04/05,05:10,05:30,13:41,14:00,17:15,18:00,20:01,,21:11,21:30,07:20
04/06,05:08,05:30,13:40,14:00,17:16,18:00,20:02,,21:12,21:30,07:19
04/07,05:07,05:30,13:40,14:00,17:16,18:00,20:02,,21:13,21:30,07:17
04/08,05:05,05:30,13:40,14:00,17:16,18:00,20:03,,21:14,21:30,07:16
04/09,05:04,05:30,13:40,14:00,17:16,18:00,20:04,,21:15,21:30,07:15
04/10,05:03,05:30,13:39,14:00,17:16,18:00,20:05,,21:16,21:30,07:13
04/11,05:01,05:30,13:39,14:00,17:16,18:00,20:05,,21:17,21:30,07:12
04/12,05:00,05:30,13:39,14:00,17:16,18:00,20:06,,21:18,21:30,07:11
04/13,04:58,05:30,13:38,14:00,17:16,18:00,20:07,,21:19,21:30,07:10
04/14,04:57,05:30,13:38,14:00,17:16,18:00,20:08,,21:20,21:30,07:08
04/15,04:55,05:15,13:38,14:00,17:17,18:00,20:08,,21:21,21:45,07:07
04/16,04:54,05:15,13:38,14:00,17:17,18:00,20:09,,21:22,21:45,07:06
04/17,04:52,05:15,13:37,14:00,17:17,18:00,20:10,,21:23,21:45,07:04
04/18,04:51,05:15,13:37,14:00,17:17,18:00,20:11,,21:24,21:45,07:03
04/19,04:50,05:15,13:37,14:00,17:17,18:00,20:12,,21:24,21:45,07:02
04/20,04:48,05:15,13:37,14:00,17:17,18:00,20:12,,21:25,21:45,07:01
04/21,04:47,05:15,13:37,14:00,17:17,18:00,20:13,,21:26,21:45,07:00
04/22,04:45,05:15,13:36,14:00,17:17,18:00,20:14,,21:27,21:45,06:58
04/23,04:44,05:15,13:36,14:00,17:17,18:00,20:15,,21:28,21:45,06:57
04/24,04:43,05:15,13:36,14:00,17:17,18:00,20:15,,21:29,21:45,06:56
