00501,40.922326,-72.637078,HOLTSVILLE,SUFFOLK,NY
00544,40.922326,-72.637078,HOLTSVILLE,SUFFOLK,NY
00601,18.165273,-66.722583,ADJUNTAS,ADJUNTAS,PR
00602,18.393103,-67.180953,AGUADA,AGUADA,PR
00603,18.455913,-67.14578,AGUADILLA,AGUADILLA,PR
00604,18.49352,-67.135883,AGUADILLA,AGUADILLA,PR
00605,18.465162,-67.141486,AGUADILLA,AGUADILLA,PR
00606,18.172947,-66.944111,MARICAO,MARICAO,PR
00610,18.288685,-67.139696,ANASCO,ANASCO,PR
00611,18.279531,-66.80217,ANGELES,UTUADO,PR
00612,18.450674,-66.698262,ARECIBO,ARECIBO,PR
00613,18.458093,-66.732732,ARECIBO,ARECIBO,PR
00614,18.429675,-66.674506,ARECIBO,ARECIBO,PR
00616,18.444792,-66.640678,BAJADERO,ARECIBO,PR
00617,18.447092,-66.544255,BARCELONETA,BARCELONETA,PR
00622,17.998531,-67.187318,BOQUERON,CABO ROJO,PR
00623,18.062201,-67.149541,CABO ROJO,CABO ROJO,PR
00624,18.023535,-66.726156,PENUELAS,PENUELAS,PR
00627,18.477891,-66.85477,CAMUY,CAMUY,PR
00631,18.269187,-66.864993,CASTANER,LARES,PR
00636,18.113284,-67.039706,ROSARIO,SAN GERMAN,PR
00637,18.087322,-66.934911,SABANA GRANDE,SABANA GRANDE,PR
00638,18.33616,-66.472087,CIALES,CIALES,PR
00641,18.250027,-66.698957,UTUADO,UTUADO,PR
00646,18.43606,-66.281954,DORADO,DORADO,PR
00647,17.969594,-66.939754,ENSENADA,GUANICA,PR
00650,18.360125,-66.562311,FLORIDA,FLORIDA,PR
00652,18.457254,-66.603358,GARROCHALES,ARECIBO,PR
00653,17.972468,-66.898661,GUANICA,GUANICA,PR
00656,18.02328,-66.786909,GUAYANILLA,GUAYANILLA,PR
00659,18.481391,-66.808696,HATILLO,HATILLO,PR
00660,18.145486,-67.135323,HORMIGUEROS,HORMIGUEROS,PR
00662,18.480285,-67.028155,ISABELA,ISABELA,PR
00664,18.217606,-66.598306,JAYUYA,JAYUYA,PR
00667,18.015099,-67.055973,LAJAS,LAJAS,PR
00669,18.295952,-66.881925,LARES,LARES,PR
00670,18.252135,-66.990967,LAS MARIAS,LAS MARIAS,PR
00674,18.44553,-66.490268,MANATI,MANATI,PR
00676,18.383727,-67.080799,MOCA,MOCA,PR
00677,18.335781,-67.252547,RINCON,RINCON,PR
